,ticker,datePurchased,quantity,costBasis,totalCost,date,stockclosevalue,tickername_x,splitdate,stocksplits,tickername_y,nextsplitdate,cumQuantity
1010,T,2021-10-08,0.0,0.0,0.0,2021-10-08,20.219032287597656,T,,,,2022-04-10,0.0
1011,T,2021-10-09,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1012,T,2021-10-10,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1013,T,2021-10-11,0.0,0.0,0.0,2021-10-11,19.66012191772461,T,,,,2022-04-10,0.0
1014,T,2021-10-12,0.0,0.0,0.0,2021-10-12,19.20694923400879,T,,,,2022-04-10,0.0
1015,T,2021-10-13,0.0,0.0,0.0,2021-10-13,19.108760833740234,T,,,,2022-04-10,0.0
1016,T,2021-10-14,0.0,0.0,0.0,2021-10-14,19.350452423095703,T,,,,2022-04-10,0.0
1017,T,2021-10-15,0.0,0.0,0.0,2021-10-15,19.41087532043457,T,,,,2022-04-10,0.0
1018,T,2021-10-16,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1019,T,2021-10-17,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1020,T,2021-10-18,0.0,0.0,0.0,2021-10-18,19.131420135498047,T,,,,2022-04-10,0.0
1021,T,2021-10-19,0.0,0.0,0.0,2021-10-19,19.327795028686523,T,,,,2022-04-10,0.0
1022,T,2021-10-20,0.0,0.0,0.0,2021-10-20,19.569486618041992,T,,,,2022-04-10,0.0
1023,T,2021-10-21,0.0,0.0,0.0,2021-10-21,19.456193923950195,T,,,,2022-04-10,0.0
1024,T,2021-10-22,0.0,0.0,0.0,2021-10-22,19.25226593017578,T,,,,2022-04-10,0.0
1025,T,2021-10-23,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1026,T,2021-10-24,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1027,T,2021-10-25,0.0,0.0,0.0,2021-10-25,19.365558624267578,T,,,,2022-04-10,0.0
1028,T,2021-10-26,0.0,0.0,0.0,2021-10-26,19.161630630493164,T,,,,2022-04-10,0.0
1029,T,2021-10-27,0.0,0.0,0.0,2021-10-27,18.927492141723633,T,,,,2022-04-10,0.0
1030,T,2021-10-28,0.0,0.0,0.0,2021-10-28,19.297582626342773,T,,,,2022-04-10,0.0
1031,T,2021-10-29,0.0,0.0,0.0,2021-10-29,19.078550338745117,T,,,,2022-04-10,0.0
1032,T,2021-10-30,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1033,T,2021-10-31,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1034,T,2021-11-01,0.0,0.0,0.0,2021-11-01,19.161630630493164,T,,,,2022-04-10,0.0
1035,T,2021-11-02,0.0,0.0,0.0,2021-11-02,19.055891036987305,T,,,,2022-04-10,0.0
1036,T,2021-11-03,0.0,0.0,0.0,2021-11-03,19.01812744140625,T,,,,2022-04-10,0.0
1037,T,2021-11-04,0.0,0.0,0.0,2021-11-04,18.731117248535156,T,,,,2022-04-10,0.0
1038,T,2021-11-05,0.0,0.0,0.0,2021-11-05,18.957704544067383,T,,,,2022-04-10,0.0
1039,T,2021-11-06,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1040,T,2021-11-07,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1041,T,2021-11-08,0.0,0.0,0.0,2021-11-08,18.791540145874023,T,,,,2022-04-10,0.0
1042,T,2021-11-09,0.0,0.0,0.0,2021-11-09,18.66314125061035,T,,,,2022-04-10,0.0
1043,T,2021-11-10,0.0,0.0,0.0,2021-11-10,18.844411849975586,T,,,,2022-04-10,0.0
1044,T,2021-11-11,0.0,0.0,0.0,2021-11-11,18.821752548217773,T,,,,2022-04-10,0.0
1045,T,2021-11-12,0.0,0.0,0.0,2021-11-12,18.83685874938965,T,,,,2022-04-10,0.0
1046,T,2021-11-13,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1047,T,2021-11-14,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1048,T,2021-11-15,0.0,0.0,0.0,2021-11-15,18.731117248535156,T,,,,2022-04-10,0.0
1049,T,2021-11-16,0.0,0.0,0.0,2021-11-16,18.625377655029297,T,,,,2022-04-10,0.0
1050,T,2021-11-17,0.0,0.0,0.0,2021-11-17,18.625377655029297,T,,,,2022-04-10,0.0
1051,T,2021-11-18,0.0,0.0,0.0,2021-11-18,18.421449661254883,T,,,,2022-04-10,0.0
1052,T,2021-11-19,0.0,0.0,0.0,2021-11-19,18.22507667541504,T,,,,2022-04-10,0.0
1053,T,2021-11-20,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1054,T,2021-11-21,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1055,T,2021-11-22,0.0,0.0,0.0,2021-11-22,18.655588150024414,T,,,,2022-04-10,0.0
1056,T,2021-11-23,0.0,0.0,0.0,2021-11-23,18.70090675354004,T,,,,2022-04-10,0.0
1057,T,2021-11-24,0.0,0.0,0.0,2021-11-24,18.48187255859375,T,,,,2022-04-10,0.0
1058,T,2021-11-25,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1059,T,2021-11-26,0.0,0.0,0.0,2021-11-26,18.29305076599121,T,,,,2022-04-10,0.0
1060,T,2021-11-27,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1061,T,2021-11-28,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1062,T,2021-11-29,0.0,0.0,0.0,2021-11-29,18.043806076049805,T,,,,2022-04-10,0.0
1063,T,2021-11-30,0.0,0.0,0.0,2021-11-30,17.243202209472656,T,,,,2022-04-10,0.0
1064,T,2021-12-01,0.0,0.0,0.0,2021-12-01,16.790029525756836,T,,,,2022-04-10,0.0
1065,T,2021-12-02,0.0,0.0,0.0,2021-12-02,17.409366607666016,T,,,,2022-04-10,0.0
1066,T,2021-12-03,0.0,0.0,0.0,2021-12-03,17.719032287597656,T,,,,2022-04-10,0.0
1067,T,2021-12-04,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1068,T,2021-12-05,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1069,T,2021-12-06,0.0,0.0,0.0,2021-12-06,17.58308219909668,T,,,,2022-04-10,0.0
1070,T,2021-12-07,0.0,0.0,0.0,2021-12-07,17.432024002075195,T,,,,2022-04-10,0.0
1071,T,2021-12-08,0.0,0.0,0.0,2021-12-08,17.5,T,,,,2022-04-10,0.0
1072,T,2021-12-09,0.0,0.0,0.0,2021-12-09,17.326284408569336,T,,,,2022-04-10,0.0
1073,T,2021-12-10,0.0,0.0,0.0,2021-12-10,17.250755310058594,T,,,,2022-04-10,0.0
1074,T,2021-12-11,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1075,T,2021-12-12,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1076,T,2021-12-13,0.0,0.0,0.0,2021-12-13,16.948640823364258,T,,,,2022-04-10,0.0
1077,T,2021-12-14,0.0,0.0,0.0,2021-12-14,16.835346221923828,T,,,,2022-04-10,0.0
1078,T,2021-12-15,0.0,0.0,0.0,2021-12-15,16.744712829589844,T,,,,2022-04-10,0.0
1079,T,2021-12-16,0.0,0.0,0.0,2021-12-16,17.907854080200195,T,,,,2022-04-10,0.0
1080,T,2021-12-17,0.0,0.0,0.0,2021-12-17,17.960725784301758,T,,,,2022-04-10,0.0
1081,T,2021-12-18,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1082,T,2021-12-19,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1083,T,2021-12-20,0.0,0.0,0.0,2021-12-20,18.27039337158203,T,,,,2022-04-10,0.0
1084,T,2021-12-21,0.0,0.0,0.0,2021-12-21,18.48187255859375,T,,,,2022-04-10,0.0
1085,T,2021-12-22,0.0,0.0,0.0,2021-12-22,18.71601104736328,T,,,,2022-04-10,0.0
1086,T,2021-12-23,0.0,0.0,0.0,2021-12-23,18.78398895263672,T,,,,2022-04-10,0.0
1087,T,2021-12-24,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1088,T,2021-12-25,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1089,T,2021-12-26,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1090,T,2021-12-27,0.0,0.0,0.0,2021-12-27,18.71601104736328,T,,,,2022-04-10,0.0
1091,T,2021-12-28,0.0,0.0,0.0,2021-12-28,18.74622344970703,T,,,,2022-04-10,0.0
1092,T,2021-12-29,0.0,0.0,0.0,2021-12-29,18.610271453857422,T,,,,2022-04-10,0.0
1093,T,2021-12-30,0.0,0.0,0.0,2021-12-30,18.71601104736328,T,,,,2022-04-10,0.0
1094,T,2021-12-31,0.0,0.0,0.0,2021-12-31,18.580059051513672,T,,,,2022-04-10,0.0
1095,T,2022-01-01,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1096,T,2022-01-02,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1097,T,2022-01-03,0.0,0.0,0.0,2022-01-03,19.20694923400879,T,,,,2022-04-10,0.0
1098,T,2022-01-04,0.0,0.0,0.0,2022-01-04,19.365558624267578,T,,,,2022-04-10,0.0
1099,T,2022-01-05,0.0,0.0,0.0,2022-01-05,19.79607391357422,T,,,,2022-04-10,0.0
1100,T,2022-01-06,0.0,0.0,0.0,2022-01-06,19.720544815063477,T,,,,2022-04-10,0.0
1101,T,2022-01-07,0.0,0.0,0.0,2022-01-07,19.856494903564453,T,,,,2022-04-10,0.0
1102,T,2022-01-08,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1103,T,2022-01-09,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1104,T,2022-01-10,0.0,0.0,0.0,2022-01-10,19.984893798828125,T,,,,2022-04-10,0.0
1105,T,2022-01-11,0.0,0.0,0.0,2022-01-11,19.89426040649414,T,,,,2022-04-10,0.0
1106,T,2022-01-12,0.0,0.0,0.0,2022-01-12,19.977340698242188,T,,,,2022-04-10,0.0
1107,T,2022-01-13,0.0,0.0,0.0,2022-01-13,20.24169158935547,T,,,,2022-04-10,0.0
1108,T,2022-01-14,0.0,0.0,0.0,2022-01-14,20.528701782226562,T,,,,2022-04-10,0.0
1109,T,2022-01-15,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1110,T,2022-01-16,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1111,T,2022-01-17,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1112,T,2022-01-18,0.0,0.0,0.0,2022-01-18,20.626888275146484,T,,,,2022-04-10,0.0
1113,T,2022-01-19,0.0,0.0,0.0,2022-01-19,20.604230880737305,T,,,,2022-04-10,0.0
1114,T,2022-01-20,0.0,0.0,0.0,2022-01-20,20.407854080200195,T,,,,2022-04-10,0.0
1115,T,2022-01-21,0.0,0.0,0.0,2022-01-21,20.098186492919922,T,,,,2022-04-10,0.0
1116,T,2022-01-22,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1117,T,2022-01-23,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1118,T,2022-01-24,0.0,0.0,0.0,2022-01-24,19.89426040649414,T,,,,2022-04-10,0.0
1119,T,2022-01-25,0.0,0.0,0.0,2022-01-25,20.0,T,,,,2022-04-10,0.0
1120,T,2022-01-26,0.0,0.0,0.0,2022-01-26,18.315710067749023,T,,,,2022-04-10,0.0
1121,T,2022-01-27,0.0,0.0,0.0,2022-01-27,18.2175235748291,T,,,,2022-04-10,0.0
1122,T,2022-01-28,0.0,0.0,0.0,2022-01-28,19.04078483581543,T,,,,2022-04-10,0.0
1123,T,2022-01-29,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
1124,T,2022-01-30,0.0,0.0,0.0,,,,,,,2022-04-10,0.0
